customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil
1-181825-UV,M,68039,OAXACA DE JUAREZ,OAXACA,W5964,596,4831.0,C
1-376726-DW,M,45030,ZAPOPAN,JALISCO,V0280,3558,6150.0,C
1-953670-YF,M,9440,IZTAPALAPA,CIUDAD DE MEXICO,W0994,99,9934.0,C
1-219924-M[,F,48304,PUERTO VALLARTA,JALISCO,W1638,163,6150.0,S
1-450781-[H,M,7270,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0994,99,9934.0,S
1-984195-[W,F,58840,CUITZEO,MICHOACAN DE OCAMPO,W0404,40,9934.0,S
1-123291-[F,M,44100,GUADALAJARA,JALISCO,W1043,104,6150.0,C
1-493852-FC,F,52740,OCOYOACAC,MEXICO,X9153,1915,9934.0,C
1-856227-IJ,F,1460,ALVARO OBREGON,CIUDAD DE MEXICO,W5922,592,4831.0,C
1-890774-NN,F,5240,CUAJIMALPA DE MORELOS,CIUDAD DE MEXICO,W0994,99,9934.0,C
1-355499-YX,M,39850,ACAPULCO DE JUAREZ,GUERRERO,W5098,509,9933.0,C
1-601683-IO,M,36300,SAN FRANCISCO DEL RINCON,GUANAJUATO,W2791,279,9931.0,S
1-398924-GP,M,86080,CENTRO,TABASCO,W3468,346,9610.0,C
1-125050-K\,M,9780,IZTAPALAPA,CIUDAD DE MEXICO,W0288,28,4831.0,C
1-888702-UY,M,8100,IZTACALCO,CIUDAD DE MEXICO,W0476,47,4831.0,C
1-273394-JR,M,22435,TIJUANA,BAJA CALIFORNIA,W1343,134,6777.0,C
1-122285-JD,M,94740,CAMERINO Z MENDOZA,VERACRUZ DE IGNACIO DE LA LLAVE,W3431,343,9933.0,C
1-870028-RW,M,3104,BENITO JUAREZ,CIUDAD DE MEXICO,W7384,738,4831.0,C
1-110211-NI,M,87050,VICTORIA,TAMAULIPAS,V0362,538,9932.0,C
1-249623-N[,F,9420,IZTAPALAPA,CIUDAD DE MEXICO,W4933,493,4831.0,C
1-249431-GO,M,60130,URUAPAN,MICHOACAN DE OCAMPO,V0161,485,6150.0,C
1-681914-MA,F,1210,ALVARO OBREGON,CIUDAD DE MEXICO,W0188,18,9934.0,C
1-906392-PN,F,71230,SANTA CRUZ XOXOCOTLAN,OAXACA,V0299,418,9933.0,S
1-753906-EN,M,94420,MARIANO ESCOBEDO,VERACRUZ DE IGNACIO DE LA LLAVE,W3434,343,9933.0,C
1-977197-VP,M,72430,PUEBLA,PUEBLA,W4562,456,9933.0,S
1-115169-OV,F,8400,IZTACALCO,CIUDAD DE MEXICO,Z8032,3803,9934.0,S
